[2025-06-20 02:12:17] 🔁 Neues Training mit max_steps=1000000, learning_rate=0.0005, beta=0.08, epsilon=0.2
[2025-06-20 02:12:17] 📛 Aktuelle Trainings-ID: GPUnewRays_LvlFix_AllLevelV2

[2025-06-20 02:34:17] 🔁 Neues Training mit max_steps=2000000, learning_rate=0.00058, beta=0.0824, epsilon=0.203

[2025-06-20 02:56:17] 🔁 Neues Training mit max_steps=3000000, learning_rate=0.00066, beta=0.0848, epsilon=0.206

[2025-06-20 03:16:18] 🔁 Neues Training mit max_steps=4000000, learning_rate=0.00072, beta=0.0864, epsilon=0.208

[2025-06-20 03:36:18] 🔁 Neues Training mit max_steps=5000000, learning_rate=0.00078, beta=0.088, epsilon=0.21

[2025-06-20 03:56:18] 🔁 Neues Training mit max_steps=6000000, learning_rate=0.00082, beta=0.0888, epsilon=0.211

[2025-06-20 04:16:18] 🔁 Neues Training mit max_steps=7000000, learning_rate=0.00086, beta=0.0896, epsilon=0.212

[2025-06-20 04:36:18] 🔁 Neues Training mit max_steps=8000000, learning_rate=0.00088, beta=0.09032, epsilon=0.2129

[2025-06-20 04:54:18] 🔁 Neues Training mit max_steps=9000000, learning_rate=0.0009, beta=0.09104, epsilon=0.2138

[2025-06-20 05:12:18] 🔁 Neues Training mit max_steps=10000000, learning_rate=0.00091, beta=0.09168, epsilon=0.2146

[2025-06-20 05:30:18] 🔁 Neues Training mit max_steps=11000000, learning_rate=0.00092, beta=0.09232, epsilon=0.2154

[2025-06-20 05:48:18] 🔁 Neues Training mit max_steps=12000000, learning_rate=0.000925, beta=0.09152, epsilon=0.2144

[2025-06-20 06:06:18] 🔁 Neues Training mit max_steps=13000000, learning_rate=0.00093, beta=0.09072, epsilon=0.2134

[2025-06-20 06:24:19] 🔁 Neues Training mit max_steps=14000000, learning_rate=0.000935, beta=0.08992, epsilon=0.2124

[2025-06-20 06:42:19] 🔁 Neues Training mit max_steps=15000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-20 07:00:19] 🔁 Neues Training mit max_steps=16000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-20 07:18:19] 🔁 Neues Training mit max_steps=17000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-20 07:36:19] 🔁 Neues Training mit max_steps=18000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-20 07:54:19] 🔁 Neues Training mit max_steps=19000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-20 08:12:19] 🔁 Neues Training mit max_steps=20000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-20 08:30:19] 🔁 Neues Training mit max_steps=21000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-20 08:48:19] 🔁 Neues Training mit max_steps=22000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-20 09:06:19] 🔁 Neues Training mit max_steps=23000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-20 09:24:20] 🔁 Neues Training mit max_steps=24000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-20 09:42:20] 🔁 Neues Training mit max_steps=25000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-20 10:00:20] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-20 10:18:20] 🔁 Neues Training mit max_steps=27000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-20 10:36:20] 🔁 Neues Training mit max_steps=28000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-20 10:54:20] 🔁 Neues Training mit max_steps=29000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-20 11:12:20] 🔁 Neues Training mit max_steps=30000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-20 11:30:20] 🔁 Neues Training mit max_steps=31000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-20 11:48:20] 🔁 Neues Training mit max_steps=32000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-20 12:06:20] 🔁 Neues Training mit max_steps=33000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-20 12:24:21] 🔁 Neues Training mit max_steps=34000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

