[2025-06-22 16:37:10] 🔁 Neues Training mit max_steps=1000000, learning_rate=0.0005, beta=0.08, epsilon=0.2
[2025-06-22 16:37:10] 📛 Aktuelle Trainings-ID: GPUnewRays_LvlFix_AllLevelV3FixTags

[2025-06-22 17:01:10] 🔁 Neues Training mit max_steps=2000000, learning_rate=0.00058, beta=0.0824, epsilon=0.203

[2025-06-22 17:25:10] 🔁 Neues Training mit max_steps=3000000, learning_rate=0.00066, beta=0.0848, epsilon=0.206

[2025-06-22 17:49:10] 🔁 Neues Training mit max_steps=4000000, learning_rate=0.00072, beta=0.0864, epsilon=0.208

[2025-06-22 18:11:10] 🔁 Neues Training mit max_steps=5000000, learning_rate=0.00078, beta=0.088, epsilon=0.21

[2025-06-22 18:33:11] 🔁 Neues Training mit max_steps=6000000, learning_rate=0.00082, beta=0.0888, epsilon=0.211

[2025-06-22 18:57:11] 🔁 Neues Training mit max_steps=7000000, learning_rate=0.00086, beta=0.0896, epsilon=0.212

[2025-06-22 19:19:11] 🔁 Neues Training mit max_steps=8000000, learning_rate=0.00088, beta=0.09032, epsilon=0.2129

[2025-06-22 19:43:11] 🔁 Neues Training mit max_steps=9000000, learning_rate=0.0009, beta=0.09104, epsilon=0.2138

[2025-06-22 20:07:11] 🔁 Neues Training mit max_steps=10000000, learning_rate=0.00091, beta=0.09168, epsilon=0.2146

[2025-06-22 20:25:11] 🔁 Neues Training mit max_steps=11000000, learning_rate=0.00092, beta=0.09232, epsilon=0.2154

[2025-06-22 20:43:11] 🔁 Neues Training mit max_steps=12000000, learning_rate=0.000925, beta=0.09152, epsilon=0.2144

[2025-06-22 21:01:11] 🔁 Neues Training mit max_steps=13000000, learning_rate=0.00093, beta=0.09072, epsilon=0.2134

[2025-06-22 21:19:11] 🔁 Neues Training mit max_steps=14000000, learning_rate=0.000935, beta=0.08992, epsilon=0.2124

[2025-06-22 21:37:12] 🔁 Neues Training mit max_steps=15000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-22 21:55:12] 🔁 Neues Training mit max_steps=16000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-22 22:13:12] 🔁 Neues Training mit max_steps=17000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-22 22:31:12] 🔁 Neues Training mit max_steps=18000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-22 22:49:12] 🔁 Neues Training mit max_steps=19000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-22 23:09:12] 🔁 Neues Training mit max_steps=20000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-22 23:27:12] 🔁 Neues Training mit max_steps=21000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-22 23:45:12] 🔁 Neues Training mit max_steps=22000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-23 00:03:12] 🔁 Neues Training mit max_steps=23000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-23 00:23:13] 🔁 Neues Training mit max_steps=24000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-23 00:43:13] 🔁 Neues Training mit max_steps=25000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-23 01:03:13] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-23 01:21:13] 🔁 Neues Training mit max_steps=27000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-23 01:41:13] 🔁 Neues Training mit max_steps=28000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-23 01:59:13] 🔁 Neues Training mit max_steps=29000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-23 02:19:13] 🔁 Neues Training mit max_steps=30000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-23 02:39:13] 🔁 Neues Training mit max_steps=31000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-23 02:59:13] 🔁 Neues Training mit max_steps=32000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-23 03:19:13] 🔁 Neues Training mit max_steps=33000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-23 03:39:14] 🔁 Neues Training mit max_steps=34000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

