[2025-06-18 11:17:13] 🔁 Neues Training mit max_steps=1000000, learning_rate=0.0005, beta=0.08, epsilon=0.2
[2025-06-18 11:17:13] 📛 Aktuelle Trainings-ID: newGPUAuto5Lx2DrcOcNormal1mioV2.1
[2025-06-18 11:17:13] 🔗 Basierend auf Trainings-ID: newGPUAuto5Lx2DrcOcNormal1mioV2

[2025-06-18 11:37:13] 🔁 Neues Training mit max_steps=2000000, learning_rate=0.0006, beta=0.084, epsilon=0.205

[2025-06-18 11:59:13] 🔁 Neues Training mit max_steps=3000000, learning_rate=0.0007, beta=0.088, epsilon=0.21

[2025-06-18 12:19:13] 🔁 Neues Training mit max_steps=4000000, learning_rate=0.00078, beta=0.0912, epsilon=0.214

[2025-06-18 12:39:13] 🔁 Neues Training mit max_steps=5000000, learning_rate=0.00086, beta=0.0944, epsilon=0.218

[2025-06-18 12:59:13] 🔁 Neues Training mit max_steps=6000000, learning_rate=0.00092, beta=0.0968, epsilon=0.221

[2025-06-18 13:17:13] 🔁 Neues Training mit max_steps=7000000, learning_rate=0.00098, beta=0.0992, epsilon=0.224

[2025-06-18 13:35:13] 🔁 Neues Training mit max_steps=8000000, learning_rate=0.00102, beta=0.1008, epsilon=0.226

[2025-06-18 13:51:13] 🔁 Neues Training mit max_steps=9000000, learning_rate=0.00106, beta=0.1024, epsilon=0.228

[2025-06-18 14:07:13] 🔁 Neues Training mit max_steps=10000000, learning_rate=0.00108, beta=0.1032, epsilon=0.229

[2025-06-18 14:25:14] 🔁 Neues Training mit max_steps=11000000, learning_rate=0.0011, beta=0.104, epsilon=0.23

[2025-06-18 14:43:14] 🔁 Neues Training mit max_steps=12000000, learning_rate=0.00111, beta=0.1032, epsilon=0.229

[2025-06-18 15:01:14] 🔁 Neues Training mit max_steps=13000000, learning_rate=0.00112, beta=0.1024, epsilon=0.228

[2025-06-18 15:19:14] 🔁 Neues Training mit max_steps=14000000, learning_rate=0.00113, beta=0.1016, epsilon=0.227

[2025-06-18 15:37:14] 🔁 Neues Training mit max_steps=15000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 15:55:14] 🔁 Neues Training mit max_steps=16000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 16:13:14] 🔁 Neues Training mit max_steps=17000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 16:29:14] 🔁 Neues Training mit max_steps=18000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

